id,week,city_code,region_code,center_type,op_area,category,cuisine,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1379560,1,647,56,TYPE_C,2,Beverages,Thai,136.83,152.29,0,0,177
1466964,1,647,56,TYPE_C,2,Beverages,Thai,136.83,135.83,0,0,
1346989,1, ,56,TYPE_C,2,Beverages,Thai,134.86,135.86,0,0,189
1338232,1,647, ,TYPE_C,2,Beverages,Indian,339.5,437.53,0,0,54
1448490,1,647,56,TYPE_C,2,Beverages,Indian,243.5,242.5,0,0,40
1270037,1,647,56,TYPE_C,2,Beverages,Indian,251.23,252.23,0,0,
1191377,1,647,56,TYPE_C,2,Beverages,Italian,183.36,184.36,0,0,190
1499955,1, ,56,TYPE_C,2,Beverages,Italian,182.36,183.36,0,0,391
1025244,1,647,56,TYPE_C,2,Beverages,Italian,193.06,192.06,0,0,472
1054194,1,647, ,TYPE_C,2,Beverages,Continental,325.92,384.18,0,1,676
1469367,1,647,56,TYPE_C,2,Beverages,Continental,323.01,390,0,1,823
1029333,1,647,56,TYPE_C,2,Beverages,Continental,322.07,388,0,1,972
1446016,1,647,56,TYPE_C,2,Rice Bowl,Indian,311.43,310.43,0,0,162
1244647,1,647,56,TYPE_C,2,Rice Bowl,Indian,445.23,446.23,0,0,
1378227,1,647,56,TYPE_C,2,Rice Bowl,Indian,264.84,297.79,1,0,756
1181556,1, ,56,TYPE_C,2,Starters,Thai,282.33,281.33,0,0,108
1313873,1,647,56,TYPE_C,2,Pasta,Italian,243.5,340.53,0,0,
1067069,1,647, ,TYPE_C,2,Pasta,Italian,486,485,0,0,28
1058482,1,647,56,TYPE_C,2,Sandwich,Italian,306.58,305.58,0,0,188
